x_fwd_H0,y_fwd_H0,x_fwd_H1,y_fwd_H1,x_fwd_H2,y_fwd_H2,x_fwd_H3.5,y_fwd_H3.5,x_fwd_H5,y_fwd_H5,x_back_H0,y_back_H0,x_back_H1,y_back_H1,x_back_H2,y_back_H2,x_back_H3.5,y_back_H3.5,x_back_H5,y_back_H5
-5.5942077e-06,-5.7798041e-07,-5.5096251e-06,-1.1304065e-06,-5.3439472e-06,-1.6628501e-06,-4.9554152e-06,-2.3936085e-06,-4.4249635e-06,-3.0068495e-06,-2.8041318e-07,-2.8971632e-08,-2.802998e-07,-3.0372058e-08,-2.8017589e-07,-3.1771741e-08,-2.7997031e-07,-3.3869662e-08,-2.7974108e-07,-3.5965376e-08
-6.3281319e-06,-6.9600035e-07,-6.2201265e-06,-1.3589384e-06,-6.0090344e-06,-1.994816e-06,-5.5163794e-06,-2.8570585e-06,-4.8496882e-06,-3.5620837e-06,-3.1720159e-07,-3.4887457e-08,-3.1705664e-07,-3.6569976e-08,-3.1689825e-07,-3.8251485e-08,-3.1663551e-07,-4.0771575e-08,-3.163426e-07,-4.328867e-08
-7.1084392e-06,-8.2941947e-07,-6.9724296e-06,-1.6166601e-06,-6.7072188e-06,-2.3678891e-06,-6.0914087e-06,-3.3734082e-06,-5.2658589e-06,-4.172393e-06,-3.5631498e-07,-4.1575175e-08,-3.5613222e-07,-4.357562e-08,-3.5593256e-07,-4.5574719e-08,-3.5560139e-07,-4.8570466e-08,-3.5523228e-07,-5.1562219e-08
-7.9352439e-06,-9.7925534e-07,-7.7660817e-06,-1.9053734e-06,-7.4370222e-06,-2.7843073e-06,-6.6770651e-06,-3.9444907e-06,-5.6683957e-06,-4.8377496e-06,-3.9775909e-07,-4.9085793e-08,-3.975315e-07,-5.1442192e-08,-3.972829e-07,-5.3796822e-08,-3.9687063e-07,-5.7324958e-08,-3.964112e-07,-6.0847847e-08
-8.808642e-06,-1.1465366e-06,-8.6005775e-06,-2.2268817e-06,-8.1968649e-06,-3.2462623e-06,-7.2697785e-06,-4.5719189e-06,-6.0522248e-06,-5.557657e-06,-4.4153872e-07,-5.747087e-08,-4.4125844e-07,-6.0223449e-08,-4.4095233e-07,-6.2973735e-08,-4.4044478e-07,-6.7094231e-08,-4.3987926e-07,-7.1207932e-08
-9.7287106e-06,-1.3323025e-06,-9.4753586e-06,-2.5829891e-06,-8.985066e-06,-3.7558946e-06,-7.8658605e-06,-5.2570766e-06,-6.4123224e-06,-6.3311537e-06,-4.8765774e-07,-6.6782508e-08,-4.8731601e-07,-6.9973692e-08,-4.8694285e-07,-7.3161945e-08,-4.8632423e-07,-7.7938011e-08,-4.8563509e-07,-8.2705388e-08
-1.0695507e-05,-1.5376031e-06,-1.0389813e-05,-2.9754996e-06,-9.7998461e-06,-4.3152904e-06,-8.4615202e-06,-6.0011116e-06,-6.7437576e-06,-7.1568192e-06,-5.3611904e-07,-7.7073331e-08,-5.3570617e-07,-8.0747752e-08,-5.3525539e-07,-8.4418464e-08,-5.3450824e-07,-8.9916549e-08,-5.3367605e-07,-9.5403646e-08
-1.170907e-05,-1.7634984e-06,-1.1343276e-05,-3.4062149e-06,-1.0639328e-05,-4.9264769e-06,-9.052879e-06,-6.8049284e-06,-7.0417351e-06,-8.0327842e-06,-5.8692452e-07,-8.8396477e-08,-5.8642983e-07,-9.2600971e-08,-5.8588979e-07,-9.680082e-08,-5.8499484e-07,-1.030906e-07,-5.8399823e-07,-1.0936663e-07
-1.2769417e-05,-2.0110585e-06,-1.2335029e-05,-3.8769339e-06,-1.150154e-05,-5.5914186e-06,-9.635987e-06,-7.6691835e-06,-7.3016363e-06,-8.9567455e-06,-6.4007509e-07,-1.0080558e-07,-6.3948683e-07,-1.0558919e-07,-6.3884476e-07,-1.1036704e-07,-6.377809e-07,-1.1752142e-07,-6.365964e-07,-1.2465875e-07
-1.3876546e-05,-2.2813629e-06,-1.3364296e-05,-4.389451e-06,-1.2384416e-05,-6.3120137e-06,-1.0206839e-05,-8.5942799e-06,-7.519059e-06,-9.9259838e-06,-6.9557062e-07,-1.1435476e-07,-6.9487597e-07,-1.1976873e-07,-6.9411789e-07,-1.2517561e-07,-6.9286202e-07,-1.3327071e-07,-6.9146401e-07,-1.4134486e-07
