theta_deg,dW_LT,dW_WNL,dW_UR,dW_H0,dW_H1,dW_H2,dW_H3.5,dW_H5,dW_s0.3,dW_s0.5,dW_s0.7,dW_s1.0,dW_s1.4,dW_s2.0
0.080652725,0.99331702,0.002102006,4.4901957e-08,0.002102006,1.4672686e-11,0.0021026906,0.079995837,0.30454698,0.0018577064,0.0020476706,0.0020826797,0.002102006,0.0021117965,0.0021170877
0.081986782,0.99331703,0.002102014,4.4919086e-08,0.002102014,1.4884434e-11,0.0021026985,0.079995883,0.30454704,0.0018577137,0.0020476783,0.0020826876,0.002102014,0.0021118044,0.0021170956
0.083342905,0.99331703,0.0021020222,4.4936793e-08,0.0021020222,1.5106415e-11,0.0021027066,0.07999593,0.30454711,0.0018577211,0.0020476864,0.0020826957,0.0021020222,0.0021118127,0.0021171039
0.084721459,0.99331704,0.0021020307,4.4955099e-08,0.0021020307,1.533924e-11,0.0021027151,0.079995979,0.30454717,0.0018577289,0.0020476947,0.0020827041,0.0021020307,0.0021118212,0.0021171124
0.086122816,0.99331705,0.0021020395,4.4974023e-08,0.0021020395,1.5583565e-11,0.0021027238,0.07999603,0.30454724,0.0018577369,0.0020477033,0.0020827128,0.0021020395,0.00211183,0.0021171213
0.087547352,0.99331705,0.0021020486,4.4993587e-08,0.0021020486,1.5840094e-11,0.0021027328,0.079996083,0.30454731,0.0018577452,0.0020477122,0.0020827218,0.0021020486,0.0021118391,0.0021171304
0.088995452,0.99331706,0.002102058,4.5013812e-08,0.002102058,1.6109586e-11,0.0021027421,0.079996137,0.30454739,0.0018577537,0.0020477214,0.0020827311,0.002102058,0.0021118485,0.0021171398
0.090467503,0.99331707,0.0021020677,4.5034722e-08,0.0021020677,1.6392859e-11,0.0021027518,0.079996193,0.30454746,0.0018577625,0.0020477308,0.0020827406,0.0021020677,0.0021118582,0.0021171495
0.091963904,0.99331707,0.0021020777,4.505634e-08,0.0021020777,1.6690793e-11,0.0021027617,0.079996251,0.30454754,0.0018577717,0.0020477407,0.0020827506,0.0021020777,0.0021118683,0.0021171596
0.093485056,0.99331708,0.002102088,4.507869e-08,0.002102088,1.7004342e-11,0.002102772,0.07999631,0.30454762,0.0018577811,0.0020477508,0.0020827608,0.002102088,0.0021118787,0.0021171699
0.09503137,0.99331709,0.0021020987,4.5101797e-08,0.0021020987,1.7334534e-11,0.0021027827,0.079996372,0.30454771,0.0018577908,0.0020477613,0.0020827714,0.0021020987,0.0021118894,0.0021171807
0.09660326,0.9933171,0.0021021098,4.5125688e-08,0.0021021098,1.7682482e-11,0.0021027936,0.079996436,0.30454779,0.0018578009,0.0020477721,0.0020827823,0.0021021098,0.0021119005,0.0021171918
0.098201151,0.99331711,0.0021021212,4.5150389e-08,0.0021021212,1.8049395e-11,0.002102805,0.079996502,0.30454788,0.0018578113,0.0020477833,0.0020827936,0.0021021212,0.0021119119,0.0021172032
0.099825472,0.99331712,0.002102133,4.5175929e-08,0.002102133,1.843658e-11,0.0021028167,0.07999657,0.30454797,0.0018578221,0.0020477948,0.0020828053,0.002102133,0.0021119237,0.0021172151
0.10147666,0.99331712,0.0021021452,4.5202336e-08,0.0021021452,1.884546e-11,0.0021028288,0.079996641,0.30454807,0.0018578332,0.0020478068,0.0020828174,0.0021021452,0.002111936,0.0021172273
0.10315516,0.99331713,0.0021021578,4.522964e-08,0.0021021578,1.9277583e-11,0.0021028414,0.079996713,0.30454817,0.0018578447,0.0020478191,0.0020828298,0.0021021578,0.0021119486,0.0021172399
0.10486143,0.99331714,0.0021021708,4.5257873e-08,0.0021021708,1.9734632e-11,0.0021028543,0.079996789,0.30454827,0.0018578566,0.0020478318,0.0020828427,0.0021021708,0.0021119616,0.002117253
0.10659591,0.99331715,0.0021021843,4.5287067e-08,0.0021021843,2.0218446e-11,0.0021028677,0.079996866,0.30454837,0.0018578688,0.002047845,0.002082856,0.0021021843,0.0021119751,0.0021172665
0.10835909,0.99331716,0.0021021982,4.5317254e-08,0.0021021982,2.073103e-11,0.0021028815,0.079996947,0.30454848,0.0018578815,0.0020478586,0.0020828698,0.0021021982,0.0021119891,0.0021172805
