z_over_lambda,I_over_Imax
-6.1013767,0.090628927
-6.0638298,0.09298252
-6.0262829,0.095387305
-5.9887359,0.097844079
-5.951189,0.10035364
-5.9136421,0.10291679
-5.8760951,0.10553433
-5.8385482,0.10820705
-5.8010013,0.11093577
-5.7634543,0.11372128
-5.7259074,0.11656437
-5.6883605,0.11946586
-5.6508135,0.12242654
-5.6132666,0.1254472
-5.5757196,0.12852863
-5.5381727,0.13167161
-5.5006258,0.13487694
-5.4630788,0.13814539
-5.4255319,0.14147772
-5.387985,0.14487471
-5.350438,0.14833711
-5.3128911,0.15186567
-5.2753442,0.15546113
-5.2377972,0.15912422
-5.2002503,0.16285566
-5.1627034,0.16665616
-5.1251564,0.17052642
-5.0876095,0.17446711
-5.0500626,0.17847891
-5.0125156,0.18256248
-4.9749687,0.18671844
-4.9374218,0.19094741
-4.8998748,0.19525001
-4.8623279,0.19962681
-4.824781,0.20407837
-4.787234,0.20860524
-4.7496871,0.21320792
-4.7121402,0.21788693
-4.6745932,0.22264272
-4.6370463,0.22747574
-4.5994994,0.23238639
-4.5619524,0.23737508
-4.5244055,0.24244215
-4.4868586,0.24758793
-4.4493116,0.25281271
-4.4117647,0.25811675
-4.3742178,0.26350026
-4.3366708,0.26896344
-4.2991239,0.27450642
-4.261577,0.28012933
-4.22403,0.28583221
-4.1864831,0.29161509
-4.1489362,0.29747795
-4.1113892,0.30342073
-4.0738423,0.30944329
-4.0362954,0.31554549
-3.9987484,0.3217271
-3.9612015,0.32798786
-3.9236546,0.33432744
-3.8861076,0.34074547
-3.8485607,0.34724151
-3.8110138,0.35381507
-3.7734668,0.36046561
-3.7359199,0.3671925
-3.698373,0.37399507
-3.660826,0.38087257
-3.6232791,0.3878242
-3.5857322,0.39484909
-3.5481852,0.40194628
-3.5106383,0.40911477
-3.4730914,0.41635346
-3.4355444,0.42366119
-3.3979975,0.43103672
-3.3604506,0.43847875
-3.3229036,0.44598587
-3.2853567,0.45355663
-3.2478098,0.46118946
-3.2102628,0.46888274
-3.1727159,0.47663474
-3.135169,0.48444368
-3.097622,0.49230767
-3.0600751,0.50022474
-3.0225282,0.50819284
-2.9849812,0.51620981
-2.9474343,0.52427345
-2.9098874,0.53238141
-2.8723404,0.5405313
-2.8347935,0.54872062
-2.7972466,0.55694678
-2.7596996,0.56520711
-2.7221527,0.57349884
-2.6846058,0.58181912
-2.6470588,0.59016499
-2.6095119,0.59853343
-2.571965,0.60692131
-2.534418,0.61532542
-2.4968711,0.62374246
-2.4593242,0.63216904
-2.4217772,0.6406017
-2.3842303,0.64903688
-2.3466834,0.65747094
-2.3091364,0.66590016
-2.2715895,0.67432074
-2.2340426,0.68272881
-2.1964956,0.69112041
-2.1589487,0.69949152
-2.1214018,0.70783804
-2.0838548,0.71615582
-2.0463079,0.72444061
-2.008761,0.73268812
-1.971214,0.74089401
-1.9336671,0.74905387
-1.8961202,0.75716323
-1.8585732,0.7652176
-1.8210263,0.7732124
-1.7834793,0.78114307
-1.7459324,0.78900495
-1.7083855,0.79679339
-1.6708385,0.80450371
-1.6332916,0.81213119
-1.5957447,0.8196711
-1.5581977,0.82711871
-1.5206508,0.83446926
-1.4831039,0.84171801
-1.4455569,0.84886022
-1.40801,0.85589114
-1.3704631,0.86280607
-1.3329161,0.86960029
-1.2953692,0.87626915
-1.2578223,0.882808
-1.2202753,0.88921225
-1.1827284,0.89547735
-1.1451815,0.9015988
-1.1076345,0.90757216
-1.0700876,0.91339305
-1.0325407,0.91905717
-0.99499374,0.9245603
-0.95744681,0.92989829
-0.91989987,0.93506708
-0.88235294,0.94006273
-0.84480601,0.94488139
-0.80725907,0.94951929
-0.76971214,0.95397282
-0.73216521,0.95823847
-0.69461827,0.96231284
-0.65707134,0.96619269
-0.61952441,0.9698749
-0.58197747,0.9733565
-0.54443054,0.97663466
-0.5068836,0.97970671
-0.46933667,0.98257013
-0.43178974,0.98522256
-0.3942428,0.9876618
-0.35669587,0.98988585
-0.31914894,0.99189284
-0.281602,0.99368109
-0.24405507,0.99524912
-0.20650814,0.99659561
-0.1689612,0.99771942
-0.13141427,0.99861962
-0.093867334,0.99929542
-0.056320401,0.99974628
-0.018773467,0.99997181
0.018773467,0.99997181
0.056320401,0.99974628
0.093867334,0.99929542
0.13141427,0.99861962
0.1689612,0.99771942
0.20650814,0.99659561
0.24405507,0.99524912
0.281602,0.99368109
0.31914894,0.99189284
0.35669587,0.98988585
0.3942428,0.9876618
0.43178974,0.98522256
0.46933667,0.98257013
0.5068836,0.97970671
0.54443054,0.97663466
0.58197747,0.9733565
0.61952441,0.9698749
0.65707134,0.96619269
0.69461827,0.96231284
0.73216521,0.95823847
0.76971214,0.95397282
0.80725907,0.94951929
0.84480601,0.94488139
0.88235294,0.94006273
0.91989987,0.93506708
0.95744681,0.92989829
0.99499374,0.9245603
1.0325407,0.91905717
1.0700876,0.91339305
1.1076345,0.90757216
1.1451815,0.9015988
1.1827284,0.89547735
1.2202753,0.88921225
1.2578223,0.882808
1.2953692,0.87626915
1.3329161,0.86960029
1.3704631,0.86280607
1.40801,0.85589114
1.4455569,0.84886022
1.4831039,0.84171801
1.5206508,0.83446926
1.5581977,0.82711871
1.5957447,0.8196711
1.6332916,0.81213119
1.6708385,0.80450371
1.7083855,0.79679339
1.7459324,0.78900495
1.7834793,0.78114307
1.8210263,0.7732124
1.8585732,0.7652176
1.8961202,0.75716323
1.9336671,0.74905387
1.971214,0.74089401
2.008761,0.73268812
2.0463079,0.72444061
2.0838548,0.71615582
2.1214018,0.70783804
2.1589487,0.69949152
2.1964956,0.69112041
2.2340426,0.68272881
2.2715895,0.67432074
2.3091364,0.66590016
2.3466834,0.65747094
2.3842303,0.64903688
2.4217772,0.6406017
2.4593242,0.63216904
2.4968711,0.62374246
2.534418,0.61532542
2.571965,0.60692131
2.6095119,0.59853343
2.6470588,0.59016499
2.6846058,0.58181912
2.7221527,0.57349884
2.7596996,0.56520711
2.7972466,0.55694678
2.8347935,0.54872062
2.8723404,0.5405313
2.9098874,0.53238141
2.9474343,0.52427345
2.9849812,0.51620981
3.0225282,0.50819284
3.0600751,0.50022474
3.097622,0.49230767
3.135169,0.48444368
3.1727159,0.47663474
3.2102628,0.46888274
3.2478098,0.46118946
3.2853567,0.45355663
3.3229036,0.44598587
3.3604506,0.43847875
3.3979975,0.43103672
3.4355444,0.42366119
3.4730914,0.41635346
3.5106383,0.40911477
3.5481852,0.40194628
3.5857322,0.39484909
3.6232791,0.3878242
3.660826,0.38087257
3.698373,0.37399507
3.7359199,0.3671925
3.7734668,0.36046561
3.8110138,0.35381507
3.8485607,0.34724151
3.8861076,0.34074547
3.9236546,0.33432744
3.9612015,0.32798786
3.9987484,0.3217271
4.0362954,0.31554549
4.0738423,0.30944329
4.1113892,0.30342073
4.1489362,0.29747795
4.1864831,0.29161509
4.22403,0.28583221
4.261577,0.28012933
4.2991239,0.27450642
4.3366708,0.26896344
4.3742178,0.26350026
4.4117647,0.25811675
4.4493116,0.25281271
4.4868586,0.24758793
4.5244055,0.24244215
4.5619524,0.23737508
4.5994994,0.23238639
4.6370463,0.22747574
4.6745932,0.22264272
4.7121402,0.21788693
4.7496871,0.21320792
4.787234,0.20860524
4.824781,0.20407837
4.8623279,0.19962681
4.8998748,0.19525001
4.9374218,0.19094741
4.9749687,0.18671844
5.0125156,0.18256248
5.0500626,0.17847891
5.0876095,0.17446711
5.1251564,0.17052642
5.1627034,0.16665616
5.2002503,0.16285566
5.2377972,0.15912422
5.2753442,0.15546113
5.3128911,0.15186567
5.350438,0.14833711
5.387985,0.14487471
5.4255319,0.14147772
5.4630788,0.13814539
5.5006258,0.13487694
5.5381727,0.13167161
5.5757196,0.12852863
5.6132666,0.1254472
5.6508135,0.12242654
5.6883605,0.11946586
5.7259074,0.11656437
5.7634543,0.11372128
5.8010013,0.11093577
5.8385482,0.10820705
5.8760951,0.10553433
5.9136421,0.10291679
5.951189,0.10035364
5.9887359,0.097844079
6.0262829,0.095387305
6.0638298,0.09298252
6.1013767,0.090628927
6.1389237,0.088325734
6.1764706,0.086072148
6.2140175,0.083867382
6.2515645,0.081710651
6.2891114,0.079601174
6.3266583,0.077538174
6.3642053,0.075520879
6.4017522,0.073548522
6.4392991,0.071620339
6.4768461,0.069735575
6.514393,0.067893476
6.5519399,0.066093297
6.5894869,0.064334298
6.6270338,0.062615746
6.6645807,0.060936912
