x_oam_H0,y_oam_H0,x_oam_H1,y_oam_H1,x_mixed_H0,y_mixed_H0,x_mixed_H1,y_mixed_H1
0.3499929,-2.1538421e-06,0.34999371,-3.9674956e-06,-5.2673607e-05,-6.6166294e-06,-4.8460565e-05,-2.0369738e-05
0.34999257,-2.3106785e-06,0.34999347,-4.2451838e-06,-5.5097183e-05,-7.0984352e-06,-5.0486846e-05,-2.1784297e-05
0.34999224,-2.4751636e-06,0.34999321,-4.5352363e-06,-5.7570747e-05,-7.6037386e-06,-5.2535863e-05,-2.3260775e-05
0.3499919,-2.647492e-06,0.34999296,-4.8378706e-06,-6.0093654e-05,-8.1331368e-06,-5.4605792e-05,-2.4800181e-05
0.34999155,-2.8278579e-06,0.34999271,-5.1532981e-06,-6.2665224e-05,-8.6872271e-06,-5.6694759e-05,-2.6403488e-05
0.3499912,-3.0164558e-06,0.34999246,-5.4817238e-06,-6.5284743e-05,-9.2666063e-06,-5.8800837e-05,-2.8071635e-05
0.34999084,-3.2134796e-06,0.3499922,-5.8233459e-06,-6.7951466e-05,-9.8718708e-06,-6.0922048e-05,-2.9805521e-05
0.34999047,-3.4191231e-06,0.34999195,-6.1783558e-06,-7.0664611e-05,-1.0503616e-05,-6.3056364e-05,-3.1606009e-05
0.3499901,-3.63358e-06,0.3499917,-6.5469379e-06,-7.3423364e-05,-1.1162437e-05,-6.5201705e-05,-3.347392e-05
0.34998972,-3.8570431e-06,0.34999145,-6.9292689e-06,-7.6226874e-05,-1.1848925e-05,-6.7355945e-05,-3.5410035e-05
0.34998934,-4.0897048e-06,0.3499912,-7.3255181e-06,-7.9074257e-05,-1.2563673e-05,-6.9516905e-05,-3.7415093e-05
0.34998895,-4.3317571e-06,0.34999095,-7.7358467e-06,-8.1964594e-05,-1.330727e-05,-7.1682359e-05,-3.9489788e-05
0.34998855,-4.5833908e-06,0.34999071,-8.1604079e-06,-8.4896931e-05,-1.4080302e-05,-7.3850035e-05,-4.1634772e-05
0.34998815,-4.8447963e-06,0.34999046,-8.5993466e-06,-8.7870277e-05,-1.4883354e-05,-7.601761e-05,-4.3850649e-05
0.34998775,-5.1161628e-06,0.34999022,-9.0527988e-06,-9.0883607e-05,-1.5717007e-05,-7.8182718e-05,-4.6137975e-05
0.34998733,-5.3976785e-06,0.34998999,-9.520892e-06,-9.3935861e-05,-1.658184e-05,-8.0342946e-05,-4.849726e-05
0.34998692,-5.6895305e-06,0.34998975,-1.0003744e-05,-9.702594e-05,-1.7478427e-05,-8.2495835e-05,-5.0928964e-05
0.3499865,-5.9919045e-06,0.34998953,-1.0501465e-05,-0.00010015271,-1.8407339e-05,-8.4638883e-05,-5.3433495e-05
