eV_LT,dW_LT,eV_WNL,dW_WNL,eV_UR,dW_UR
0.005290362,0.47726838,0.85679424,0.66145086,812.45856,0.6525674
0.0054452361,0.48138909,0.8818767,0.66563278,836.2431,0.65658941
0.0056046442,0.48553673,0.90769344,0.66981799,860.72393,0.66062073
0.0057687189,0.48971122,0.93426595,0.67400611,885.92143,0.66466107
0.0059375968,0.49391249,0.96161638,0.67819676,911.85657,0.6687101
0.0061114186,0.49814045,0.98976748,0.68238953,938.55097,0.67276751
0.006290329,0.502395,1.0187427,0.68658402,966.02683,0.67683293
0.0064744769,0.50667605,1.0485662,0.69077981,994.30705,0.680906
0.0066640158,0.51098348,1.0792627,0.69497645,1023.4152,0.68498633
0.0068591033,0.51531716,1.1108579,0.69917357,1053.3754,0.68907354
0.007059902,0.51967695,1.143378,0.70337074,1084.2127,0.69316725
0.007266579,0.52406269,1.1768501,0.70756757,1115.9528,0.69726705
0.0074793065,0.52847426,1.2113021,0.7117636,1148.6221,0.70137253
0.0076982615,0.53291143,1.2467627,0.71595835,1182.2477,0.70548322
0.0079236263,0.53737402,1.2832614,0.7201514,1216.8578,0.70959867
0.0081555887,0.54186185,1.3208286,0.72434229,1252.481,0.71371845
0.0083943417,0.54637472,1.3594956,0.72853058,1289.1471,0.71784211
0.0086400841,0.55091242,1.3992945,0.7327158,1326.8866,0.72196916
0.0088930206,0.55547471,1.4402585,0.73689746,1365.7309,0.72609914
0.0091533618,0.56006135,1.4824217,0.74107508,1405.7123,0.73023155
0.0094213243,0.56467208,1.5258193,0.7452482,1446.8643,0.73436587
0.0096971315,0.56930665,1.5704873,0.74941635,1489.2209,0.73850155
0.0099810128,0.57396473,1.616463,0.75357899,1532.8175,0.74263808
0.010273205,0.57864606,1.6637846,0.75773565,1577.6904,0.74677491
0.01057395,0.58335029,1.7124915,0.76188578,1623.8769,0.7509115
0.0108835,0.58807711,1.7626243,0.76602889,1671.4155,0.75504722
0.011202112,0.59282616,1.8142247,0.77016442,1720.3458,0.75918152
