theta,q3_over_t,dq3
1.0078399,-0.26596805,0.76486709
1.0116347,-0.26294313,0.7664373
1.0154295,-0.25995663,0.7679984
1.0192244,-0.25700799,0.76955042
1.0230192,-0.25409666,0.77109341
1.026814,-0.2512221,0.77262739
1.0306088,-0.24838377,0.77415241
1.0344037,-0.24558116,0.77566849
1.0381985,-0.24281374,0.77717567
1.0419933,-0.24008101,0.77867399
1.0457882,-0.23738248,0.78016348
1.049583,-0.23471765,0.78164418
1.0533778,-0.23208605,0.78311612
1.0571726,-0.2294872,0.78457933
1.0609675,-0.22692063,0.78603386
1.0647623,-0.22438589,0.78747974
1.0685571,-0.22188253,0.788917
1.072352,-0.21941011,0.79034568
1.0761468,-0.21696819,0.79176582
1.0799416,-0.21455634,0.79317745
1.0837364,-0.21217414,0.7945806
1.0875313,-0.20982118,0.79597532
1.0913261,-0.20749705,0.79736164
1.0951209,-0.20520135,0.7987396
1.0989158,-0.20293369,0.80010922
1.1027106,-0.20069367,0.80147056
1.1065054,-0.19848092,0.80282364
1.1103003,-0.19629506,0.8041685
1.1140951,-0.19413572,0.80550518
1.1178899,-0.19200253,0.80683371
1.1216847,-0.18989515,0.80815413
1.1254796,-0.18781321,0.80946647
1.1292744,-0.18575636,0.81077078
1.1330692,-0.18372428,0.81206709
1.1368641,-0.18171661,0.81335543
1.1406589,-0.17973304,0.81463584
1.1444537,-0.17777323,0.81590836
1.1482485,-0.17583687,0.81717303
1.1520434,-0.17392363,0.81842987
1.1558382,-0.17203321,0.81967893
1.159633,-0.17016531,0.82092025
1.1634279,-0.16831961,0.82215386
1.1672227,-0.16649583,0.82337979
1.1710175,-0.16469368,0.82459809
1.1748123,-0.16291285,0.82580878
1.1786072,-0.16115308,0.82701191
1.182402,-0.15941409,0.82820752
1.1861968,-0.15769559,0.82939563
1.1899917,-0.15599731,0.83057628
1.1937865,-0.15431901,0.83174952
1.1975813,-0.15266039,0.83291537
1.2013761,-0.15102123,0.83407388
1.205171,-0.14940124,0.83522507
1.2089658,-0.14780019,0.836369
1.2127606,-0.14621784,0.83750568
1.2165555,-0.14465392,0.83863516
1.2203503,-0.14310821,0.83975747
1.2241451,-0.14158047,0.84087266
1.2279399,-0.14007047,0.84198075
1.2317348,-0.13857798,0.84308178
1.2355296,-0.13710276,0.84417579
1.2393244,-0.13564461,0.84526281
1.2431193,-0.1342033,0.84634288
1.2469141,-0.13277861,0.84741604
1.2507089,-0.13137033,0.84848231
1.2545038,-0.12997825,0.84954174
1.2582986,-0.12860216,0.85059437
1.2620934,-0.12724187,0.85164021
1.2658882,-0.12589716,0.85267932
1.2696831,-0.12456785,0.85371173
1.2734779,-0.12325374,0.85473747
1.2772727,-0.12195462,0.85575658
1.2810676,-0.12067033,0.85676909
1.2848624,-0.11940066,0.85777504
1.2886572,-0.11814543,0.85877445
1.292452,-0.11690446,0.85976738
1.2962469,-0.11567758,0.86075385
1.3000417,-0.11446461,0.86173389
1.3038365,-0.11326537,0.86270755
1.3076314,-0.11207968,0.86367485
1.3114262,-0.11090739,0.86463583
1.315221,-0.10974833,0.86559053
1.3190158,-0.10860233,0.86653898
1.3228107,-0.10746922,0.8674812
1.3266055,-0.10634886,0.86841725
1.3304003,-0.10524107,0.86934714
1.3341952,-0.10414572,0.87027092
1.33799,-0.10306263,0.87118862
1.3417848,-0.10199167,0.87210027
1.3455796,-0.10093268,0.87300591
1.3493745,-0.09988551,0.87390556
1.3531693,-0.098850026,0.87479927
1.3569641,-0.097826079,0.87568707
1.360759,-0.096813528,0.87656898
1.3645538,-0.095812236,0.87744505
1.3683486,-0.094822064,0.8783153
1.3721435,-0.093842877,0.87917977
1.3759383,-0.092874541,0.88003849
1.3797331,-0.091916926,0.88089149
1.3835279,-0.090969901,0.88173881
1.3873228,-0.090033338,0.88258048
1.3911176,-0.089107111,0.88341653
1.3949124,-0.088191095,0.88424699
1.3987073,-0.087285167,0.8850719
1.4025021,-0.086389205,0.88589128
1.4062969,-0.085503091,0.88670518
1.4100917,-0.084626706,0.88751361
1.4138866,-0.083759932,0.88831662
1.4176814,-0.082902657,0.88911423
1.4214762,-0.082054765,0.88990648
1.4252711,-0.081216145,0.8906934
1.4290659,-0.080386687,0.89147501
1.4328607,-0.079566281,0.89225135
1.4366555,-0.07875482,0.89302246
1.4404504,-0.077952198,0.89378835
1.4442452,-0.07715831,0.89454907
1.44804,-0.076373053,0.89530464
1.4518349,-0.075596325,0.89605509
1.4556297,-0.074828024,0.89680046
1.4594245,-0.074068053,0.89754077
1.4632193,-0.073316312,0.89827606
1.4670142,-0.072572705,0.89900634
1.470809,-0.071837136,0.89973167
1.4746038,-0.071109511,0.90045205
1.4783987,-0.070389738,0.90116754
1.4821935,-0.069677724,0.90187814
1.4859883,-0.068973378,0.9025839
1.4897832,-0.068276611,0.90328483
1.493578,-0.067587335,0.90398098
1.4973728,-0.066905462,0.90467237
1.5011676,-0.066230907,0.90535903
1.5049625,-0.065563585,0.90604099
1.5087573,-0.06490341,0.90671827
1.5125521,-0.064250302,0.90739091
1.516347,-0.063604178,0.90805893
1.5201418,-0.062964957,0.90872236
1.5239366,-0.062332559,0.90938124
1.5277314,-0.061706907,0.91003558
1.5315263,-0.061087922,0.91068542
1.5353211,-0.060475527,0.91133078
1.5391159,-0.059869647,0.91197169
1.5429108,-0.059270207,0.91260819
1.5467056,-0.058677134,0.91324029
1.5505004,-0.058090353,0.91386802
1.5542952,-0.057509794,0.91449141
1.5580901,-0.056935386,0.9151105
1.5618849,-0.056367057,0.91572529
1.5656797,-0.05580474,0.91633583
1.5694746,-0.055248364,0.91694214
1.5732694,-0.054697864,0.91754425
1.5770642,-0.054153171,0.91814217
1.580859,-0.053614221,0.91873595
1.5846539,-0.053080948,0.91932559
1.5884487,-0.052553287,0.91991114
1.5922435,-0.052031175,0.92049261
1.5960384,-0.051514551,0.92107004
1.5998332,-0.05100335,0.92164344
1.603628,-0.050497513,0.92221285
1.6074229,-0.04999698,0.92277828
1.6112177,-0.049501689,0.92333977
1.6150125,-0.049011583,0.92389734
1.6188073,-0.048526603,0.92445101
1.6226022,-0.048046692,0.92500081
1.626397,-0.047571793,0.92554676
1.6301918,-0.04710185,0.92608889
1.6339867,-0.046636807,0.92662723
1.6377815,-0.046176609,0.92716179
1.6415763,-0.045721204,0.92769261
1.6453711,-0.045270536,0.9282197
1.649166,-0.044824554,0.92874308
1.6529608,-0.044383205,0.9292628
1.6567556,-0.043946438,0.92977886
1.6605505,-0.043514202,0.93029129
1.6643453,-0.043086446,0.93080012
1.6681401,-0.042663121,0.93130536
1.6719349,-0.042244178,0.93180705
1.6757298,-0.041829569,0.9323052
1.6795246,-0.041419245,0.93279983
1.6833194,-0.041013159,0.93329098
1.6871143,-0.040611265,0.93377866
1.6909091,-0.040213516,0.9342629
1.6947039,-0.039819867,0.93474372
1.6984987,-0.039430273,0.93522114
1.7022936,-0.039044688,0.93569518
1.7060884,-0.03866307,0.93616586
1.7098832,-0.038285374,0.93663322
1.7136781,-0.037911557,0.93709726
1.7174729,-0.037541578,0.93755801
1.7212677,-0.037175394,0.9380155
1.7250626,-0.036812963,0.93846974
1.7288574,-0.036454245,0.93892076
1.7326522,-0.036099199,0.93936858
1.736447,-0.035747785,0.93981321
1.7402419,-0.035399964,0.94025468
1.7440367,-0.035055696,0.94069302
1.7478315,-0.034714944,0.94112824
1.7516264,-0.034377668,0.94156035
1.7554212,-0.034043831,0.9419894
1.759216,-0.033713395,0.94241538
1.7630108,-0.033386325,0.94283833
1.7668057,-0.033062583,0.94325826
1.7706005,-0.032742133,0.9436752
1.7743953,-0.03242494,0.94408916
1.7781902,-0.03211097,0.94450017
1.781985,-0.031800186,0.94490824
1.7857798,-0.031492554,0.9453134
1.7895746,-0.031188042,0.94571566
1.7933695,-0.030886615,0.94611504
1.7971643,-0.030588239,0.94651156
1.8009591,-0.030292883,0.94690525
1.804754,-0.030000514,0.94729612
1.8085488,-0.0297111,0.94768418
1.8123436,-0.029424608,0.94806947
1.8161384,-0.029141009,0.94845199
1.8199333,-0.02886027,0.94883177
1.8237281,-0.028582362,0.94920882
